datetime,latitude,longitude,depth,magnitude1,magnitude2,max_intensity,district_id,region_id,description,time,time_diff_day
2005-02-05 12:34:25,16.01,145.86666666666667,143.0,6.3,,,9,,MARIANAS                 USGS,2005-02-05 12:34:25,11 days 23:17:38
2005-02-05 21:23:18,5.291666666666667,123.33666666666667,525.0,6.4,,,9,,"MINDANAO, PHILIPPINE IS. USGS",2005-02-05 21:23:18,0 days 08:48:53
2005-02-08 23:48:21,14.251666666666669,167.25833333333333,206.0,6.1,,,9,,VANUATU (NEW HEBRIDES)   USGS,2005-02-08 23:48:21,3 days 02:25:03
2005-02-10 03:46:08,26.545,144.22166666666666,0.0,6.5,7.0,2.0,8,335.0,FAR E OFF OGASAWARA      NPS,2005-02-10 03:46:08,1 days 03:57:47
2005-02-15 08:38:08,41.72666666666667,79.44,22.0,6.1,6.2,,9,,KYRGYZSTAN-XINJIANG BDR. USGS,2005-02-15 08:38:08,5 days 04:52:00
2005-02-15 23:42:25,4.755,126.42,40.0,6.1,6.0,,9,,"TALAUD IS., INDONESIA    USGS",2005-02-15 23:42:25,0 days 15:04:17
2005-02-19 09:04:43,5.5616666666666665,122.12833333333332,10.0,6.3,6.3,,9,,"SULAWESI, INDONESIA      USGS",2005-02-19 09:04:43,3 days 09:22:18
2005-02-26 08:04:04,38.10666666666667,72.70666666666666,115.0,6.1,,,9,,TAJIKISTAN               USGS,2005-02-26 08:04:04,6 days 22:59:21
2005-03-02 19:42:12,6.526666666666666,129.93166666666667,202.0,7.0,,,9,,BANDA SEA                USGS,2005-03-02 19:42:12,4 days 11:38:08
2005-03-05 04:05:19,2.67,126.40666666666668,59.0,6.1,,,9,,NORTHERN MOLUCCA SEA     USGS,2005-03-05 04:05:19,2 days 08:23:07
2005-03-06 04:06:52,24.581666666666667,121.76833333333332,41.0,6.2,5.9,2.0,8,311.0,TAIWAN REGION,2005-03-06 04:06:52,1 days 00:01:33
2005-03-06 14:21:43,84.94666666666667,99.39,10.0,6.1,6.1,,9,,N OF SEVERNAYA ZEMLYA    USGS,2005-03-06 14:21:43,0 days 10:14:51
2005-03-20 10:53:40,33.73833333333333,130.175,9.0,7.0,6.6,6.0,7,281.0,NW OFF KYUSHU            NPS,2005-03-20 10:53:40,13 days 20:31:57
2005-03-21 21:23:54,24.981666666666666,63.47,579.0,6.1,,,9,,"SALTA PROV., ARGENTINA   USGS",2005-03-21 21:23:54,1 days 10:30:14
2005-03-29 01:09:36,2.085,97.10666666666668,30.0,7.2,8.4,,9,,"N SUMATERA, INDONESIA    USGS",2005-03-29 01:09:36,7 days 03:45:42
2005-03-29 03:30:44,0.9216666666666666,97.86666666666666,36.0,6.1,,,9,,"N SUMATERA, INDONESIA    USGS",2005-03-29 03:30:44,0 days 02:21:08
2005-04-10 19:29:11,1.643333333333333,99.60666666666668,19.0,6.4,6.7,,9,,"S SUMATERA, INDONESIA    USGS",2005-04-10 19:29:11,12 days 15:58:27
2005-04-10 20:14:19,1.7133333333333334,99.77833333333334,30.0,6.2,6.3,,9,,"S SUMATERA, INDONESIA    USGS",2005-04-10 20:14:19,0 days 00:45:08
2005-04-11 07:22:15,35.72666666666667,140.62,52.0,6.1,5.5,5.5,3,110.0,NEAR CHOSHI CITY         NPS,2005-04-11 07:22:15,0 days 11:07:56
2005-04-11 23:54:07,7.291666666666667,77.885,130.0,6.1,,,9,,NORTHERN PERU            USGS,2005-04-11 23:54:07,0 days 16:31:52
2005-05-14 14:05:18,0.5866666666666667,98.45833333333331,34.0,6.4,6.8,,9,,"N SUMATERA, INDONESIA    USGS",2005-05-14 14:05:18,32 days 14:11:11
2005-05-16 12:54:14,32.58833333333333,179.35166666666666,34.0,6.2,6.4,,9,,SOUTH OF KERMADEC IS.    USGS,2005-05-16 12:54:14,1 days 22:48:56
2005-05-19 10:54:52,1.9883333333333333,97.04,30.0,6.2,6.9,,9,,"N SUMATERA, INDONESIA    USGS",2005-05-19 10:54:52,2 days 22:00:38
2005-06-02 05:06:41,28.88,94.625,26.0,6.1,5.7,,9,,E XIJANG-INDIA BORDER    USGS,2005-06-02 05:06:41,13 days 18:11:49
2005-06-14 07:44:33,19.986666666666668,69.19666666666667,116.0,6.8,,,9,,NORTHERN CHILE           USGS,2005-06-14 07:44:33,12 days 02:37:52
2005-06-15 11:50:53,41.3,125.97,10.0,6.2,7.1,,9,,OFF N CALIFORNIA COAST   USGS,2005-06-15 11:50:53,1 days 04:06:20
2005-06-17 15:21:42,40.766666666666666,126.57333333333334,10.0,6.2,6.5,,9,,OFF N CALIFORNIA COAST   USGS,2005-06-17 15:21:42,2 days 03:30:49
2005-07-05 10:52:02,1.8183333333333331,97.08166666666666,21.0,6.2,6.8,,9,,"N SUMATERA, INDONESIA    USGS",2005-07-05 10:52:02,17 days 19:30:20
2005-07-25 00:42:06,7.92,92.19,16.0,6.6,7.5,,9,,"NICOBAR ISLANDS, INDIA   USGS",2005-07-25 00:42:06,19 days 13:50:04
2005-08-16 11:46:25,38.14833333333333,142.27666666666667,42.0,7.2,6.9,6.0,2,65.0,E OFF MIYAGI PREF        NPS,2005-08-16 11:46:25,22 days 11:04:19
2005-08-24 19:15:29,38.443333333333335,143.085,14.0,6.3,6.3,3.0,2,64.0,FAR E OFF MIYAGI PREF    NPS,2005-08-24 19:15:29,8 days 07:29:04
2005-08-31 03:10:40,38.41,143.48,22.0,6.3,6.2,3.0,2,64.0,FAR E OFF MIYAGI PREF    NPS,2005-08-31 03:10:40,6 days 07:55:11
2005-09-09 16:26:43,4.538333333333333,153.47333333333333,90.0,6.3,,,9,,"NEW IRELAND, P.N.G.      USGS",2005-09-09 16:26:43,9 days 13:16:03
2005-09-16 09:31:42,5.621666666666666,153.59166666666667,11.0,6.1,5.4,,9,,"NEW IRELAND, P.N.G.      USGS",2005-09-16 09:31:42,6 days 17:04:59
2005-09-26 10:55:37,5.676666666666667,76.39666666666666,115.0,6.7,,,9,,NORTHERN PERU            USGS,2005-09-26 10:55:37,10 days 01:23:55
2005-10-08 12:50:40,34.538333333333334,73.58666666666667,26.0,6.9,7.7,,9,,PAKISTAN                 USGS,2005-10-08 12:50:40,12 days 01:55:03
2005-10-15 19:06:15,46.821666666666665,154.28833333333333,30.0,6.4,6.9,1.0,8,,EAST OF KURIL ISLANDS,2005-10-15 19:06:15,7 days 06:15:35
2005-10-16 00:51:07,25.351666666666667,123.40333333333334,175.0,6.5,6.6,3.0,7,289.0,NW OFF ISHIGAKIJIMA IS   NPS,2005-10-16 00:51:07,0 days 05:44:52
2005-10-19 20:44:42,36.38166666666667,141.04166666666666,48.0,6.3,5.7,5.0,3,111.0,E OFF IBARAKI PREF       NPS,2005-10-19 20:44:42,3 days 19:53:35
2005-10-23 19:08:13,37.35166666666667,134.755,411.0,6.1,5.8,2.0,8,320.0,SEA OF JAPAN             NPS,2005-10-23 19:08:13,3 days 22:23:31
2005-10-29 13:05:56,45.21333333333333,96.89666666666666,8.0,6.1,6.2,,9,,SOUTHEAST INDIAN RIDGE   USGS,2005-10-29 13:05:56,5 days 17:57:43
2005-11-15 06:38:51,38.02666666666666,144.94333333333333,45.0,7.2,7.1,3.0,8,327.0,FAR E OFF NORTH HONSHU   NPS,2005-11-15 06:38:51,16 days 17:32:55
2005-11-27 19:22:19,26.773333333333333,55.85666666666667,10.0,6.1,5.8,,9,,SOUTHERN IRAN            USGS,2005-11-27 19:22:19,12 days 12:43:28
2005-12-02 22:13:07,38.071666666666665,142.35333333333332,40.0,6.6,6.0,3.0,2,65.0,E OFF MIYAGI PREF        NPS,2005-12-02 22:13:07,5 days 02:50:48
2005-12-04 01:10:39,29.21333333333333,130.43833333333333,69.0,6.1,5.8,3.0,7,296.0,NEAR AMAMI-OSHIMA ISLAND NPS,2005-12-04 01:10:39,1 days 02:57:32
2005-12-13 12:16:06,15.265,178.57,10.0,6.1,6.8,,9,,FIJI REGION              USGS,2005-12-13 12:16:06,9 days 11:05:27
2005-12-17 03:32:13,38.44833333333333,142.18,40.0,6.1,6.0,4.0,2,65.0,E OFF MIYAGI PREF        NPS,2005-12-17 03:32:13,3 days 15:16:07
2005-12-21 16:09:05,0.065,124.67166666666668,25.0,6.3,5.9,,9,,SOUTHERN MOLUCCA SEA     USGS,2005-12-21 16:09:05,4 days 12:36:52
2006-01-02 15:10:49,60.93333333333333,21.575,10.0,6.4,7.3,,9,,E OF SOUTH SANDWICH IS   USGS,2006-01-02 15:10:49,11 days 23:01:44
2006-01-03 07:13:40,19.925,178.17666666666668,583.0,6.5,,,9,,FIJI REGION              USGS,2006-01-03 07:13:40,0 days 16:02:51
2006-01-04 17:32:32,28.16333333333333,112.11666666666666,14.0,6.1,6.7,,9,,GULF OF CALIFORNIA       USGS,2006-01-04 17:32:32,1 days 10:18:52
2006-01-08 20:34:55,36.31,23.211666666666662,66.0,6.5,,,9,,SOUTHERN GREECE          USGS,2006-01-08 20:34:55,4 days 03:02:23
2006-01-28 01:58:53,5.471666666666667,128.13,397.0,7.0,,,9,,BANDA SEA                USGS,2006-01-28 01:58:53,19 days 05:23:58
2006-02-15 00:27:25,21.65,146.41166666666666,0.0,6.6,7.0,,8,337.0,MARIANA ISLANDS REGION   NPS,2006-02-15 00:27:25,17 days 22:28:32
2006-02-23 07:19:07,21.32333333333333,33.58166666666666,11.0,6.5,7.5,,9,,MOZAMBIQUE               USGS,2006-02-23 07:19:07,8 days 06:51:42
2006-03-14 15:57:33,3.595,127.21333333333334,30.0,6.4,6.7,,9,,"SERAM, INDONESIA         USGS",2006-03-14 15:57:33,19 days 08:38:26
2006-04-01 19:02:17,22.675,121.04,96.0,6.4,5.6,,8,311.0,TAIWAN REGION,2006-04-01 19:02:17,18 days 03:04:44
2006-04-21 08:25:02,60.94833333333333,167.08833333333334,22.0,6.8,7.6,,9,,"EASTERN SIBERIA, RUSSIA  USGS",2006-04-21 08:25:02,19 days 13:22:45
2006-04-21 13:32:43,60.52666666666666,165.815,9.0,6.3,5.6,,9,,"EASTERN SIBERIA, RUSSIA  USGS",2006-04-21 13:32:43,0 days 05:07:41
2006-04-30 01:58:06,60.49,167.515,11.0,6.4,6.6,,9,,"EASTERN SIBERIA, RUSSIA  USGS",2006-04-30 01:58:06,8 days 12:25:23
2006-05-04 00:26:40,20.186666666666667,174.12166666666667,55.0,7.2,7.8,,9,,TONGA                    USGS,2006-05-04 00:26:40,3 days 22:28:34
2006-05-10 11:42:51,52.515,169.255,18.0,6.1,6.2,,9,,"FOX ISLANDS,ALEUTIAN IS. USGS",2006-05-10 11:42:51,6 days 11:16:11
2006-05-16 19:39:23,31.77833333333333,179.31166666666667,152.0,6.8,,,9,,KERMADEC ISLANDS REGION  USGS,2006-05-16 19:39:23,6 days 07:56:32
2006-05-17 00:28:25,0.0916666666666666,97.05,12.0,6.6,6.8,,9,,"N SUMATERA, INDONESIA    USGS",2006-05-17 00:28:25,0 days 04:49:02
2006-05-22 22:08:01,54.27666666666666,158.42833333333334,185.0,6.2,,,9,,KAMCHATKA                USGS,2006-05-22 22:08:01,5 days 21:39:36
2006-06-12 05:01:24,33.135,131.435,145.0,6.2,6.1,5.0,7,280.0,NORTHERN OITA PREF       NPS,2006-06-12 05:01:24,20 days 06:53:23
2006-07-09 05:40:00,51.21333333333333,179.31166666666667,22.0,6.2,6.4,,9,,"ANDREANOF IS., ALEUTIAN  USGS",2006-07-09 05:40:00,27 days 00:38:36
2006-07-17 17:19:28,9.253333333333334,107.41,34.0,6.1,7.2,,9,,"SOUTH OF JAWA, INDONESIA USGS",2006-07-17 17:19:28,8 days 11:39:28
2006-07-17 18:13:04,9.086666666666666,107.76,10.0,6.1,,,9,,"SOUTH OF JAWA, INDONESIA USGS",2006-07-17 18:13:04,0 days 00:53:36
2006-07-28 16:40:09,24.041666666666668,122.47166666666666,40.0,6.2,5.9,3.0,7,289.0,NW OFF ISHIGAKIJIMA IS   NPS,2006-07-28 16:40:09,10 days 22:27:05
2006-08-07 03:16:42,26.641666666666666,144.08,24.0,6.2,6.8,2.0,8,335.0,FAR E OFF OGASAWARA      NPS,2006-08-07 03:16:42,9 days 10:36:33
2006-08-15 12:05:10,4.67,126.73166666666668,10.0,6.1,5.3,,9,,BANDA SEA                USGS,2006-08-15 12:05:10,8 days 08:48:28
2006-08-17 20:11:35,55.61666666666667,161.685,55.0,6.1,,,9,,NEAR KAMCHATKA E. COAST  USGS,2006-08-17 20:11:35,2 days 08:06:25
2006-08-20 12:41:47,61.028333333333336,34.365,10.0,6.4,6.8,,9,,SCOTIA SEA               USGS,2006-08-20 12:41:47,2 days 16:30:12
2006-08-31 17:08:27,0.2666666666666666,125.06166666666668,35.0,6.1,5.2,,9,,SOUTHERN MOLUCCA SEA     USGS,2006-08-31 17:08:27,11 days 04:26:40
2006-09-01 19:18:51,6.758333333333333,155.51166666666666,38.0,6.3,6.7,,9,,SOLOMON ISLANDS          USGS,2006-09-01 19:18:51,1 days 02:10:24
2006-09-22 11:32:25,26.866666666666667,63.14833333333333,598.0,6.1,,,9,,"SANTIAGO DEL ESTERO,ARG. USGS",2006-09-22 11:32:25,20 days 16:13:34
2006-09-28 15:22:09,16.591666666666665,172.03166666666667,28.0,6.5,6.6,,9,,SAMOA REGION             USGS,2006-09-28 15:22:09,6 days 03:49:44
2006-10-01 02:50:18,46.30833333333333,153.88,30.0,6.8,,,8,324.0,KURILE ISLANDS REGION    NPS,2006-10-01 02:50:18,2 days 11:28:09
2006-10-01 18:05:59,46.43666666666667,153.61333333333334,30.0,6.6,6.5,,8,324.0,KURILE ISLANDS REGION    NPS,2006-10-01 18:05:59,0 days 15:15:41
2006-10-09 19:01:47,20.69333333333333,120.51833333333332,0.0,6.1,6.3,,8,341.0,PHILIPPINE ISL REGION,2006-10-09 19:01:47,8 days 00:55:48
2006-10-12 23:46:29,24.08833333333333,122.57666666666668,46.0,6.2,6.0,2.0,7,289.0,NW OFF ISHIGAKIJIMA IS,2006-10-12 23:46:29,3 days 04:44:42
2006-10-13 22:47:37,46.315,153.63833333333332,30.0,6.3,5.4,,8,324.0,KURILE ISLANDS REGION,2006-10-13 22:47:37,0 days 23:01:08
2006-10-16 02:07:49,19.876666666666665,155.935,39.0,6.2,6.6,,9,,HAWAIIAN ISLANDS         USGS,2006-10-16 02:07:49,2 days 03:20:12
2006-10-17 10:25:12,5.88,150.98166666666663,32.0,6.4,6.9,,9,,"NEW BRITAIN, P.N.G.      USGS",2006-10-17 10:25:12,1 days 08:17:23
2006-10-24 06:17:16,29.17333333333333,140.35,3.0,6.8,,2.0,8,331.0,NEAR TORISHIMA IS        NPS,2006-10-24 06:17:16,6 days 19:52:04
2006-11-08 02:38:33,6.4816666666666665,151.195,10.0,6.2,6.3,,9,,"NEW BRITAIN, P.N.G.      USGS",2006-11-08 02:38:33,14 days 20:21:17
2006-11-13 06:27:42,48.28,154.245,36.0,6.1,5.4,,8,,KURILE ISLANDS           USGS,2006-11-13 06:27:42,5 days 03:49:09
2006-11-13 10:26:34,26.04,63.22,552.0,6.3,,,9,,"SANTIAGO DEL ESTERO,ARG. USGS",2006-11-13 10:26:34,0 days 03:58:52
2006-11-14 01:12:28,6.38,151.23,11.0,6.1,5.9,,9,,"NEW BRITAIN, P.N.G.      USGS",2006-11-14 01:12:28,0 days 14:45:54
2006-11-15 20:14:09,46.70166666666667,154.04666666666665,30.0,7.9,7.4,2.0,8,400.0,EAST OF KURIL ISLANDS    NPS,2006-11-15 20:14:09,1 days 19:01:41
2006-11-15 20:29:22,46.37,154.475,10.0,6.2,,,8,,EAST OF KURIL ISLANDS    USGS,2006-11-15 20:29:22,0 days 00:15:13
2006-11-15 20:34:58,46.65166666666666,155.305,10.0,6.4,,,9,,EAST OF KURIL ISLANDS    USGS,2006-11-15 20:34:58,0 days 00:05:36
2006-11-15 20:40:57,46.635,154.53666666666666,30.0,6.6,,1.0,8,400.0,EAST OF KURIL ISLANDS,2006-11-15 20:40:57,0 days 00:05:59
2006-11-16 15:20:21,46.4,154.50333333333333,30.0,6.1,,,8,400.0,EAST OF KURIL ISLANDS    NPS,2006-11-16 15:20:21,0 days 18:39:24
2006-12-08 04:10:23,46.48,154.115,30.0,6.4,6.5,1.0,8,400.0,EAST OF KURIL ISLANDS    NPS,2006-12-08 04:10:23,21 days 12:50:02
2006-12-26 21:26:18,21.648333333333333,120.75166666666668,0.0,6.9,7.1,1.0,8,311.0,TAIWAN REGION,2006-12-26 21:26:18,18 days 17:15:55
2006-12-26 21:34:11,21.815,120.685,0.0,7.2,7.0,1.0,8,311.0,TAIWAN REGION,2006-12-26 21:34:11,0 days 00:07:53
2007-01-13 13:23:13,46.93666666666667,155.05166666666668,30.0,8.2,8.2,3.0,8,400.0,FAR FIELD                NPS,2007-01-13 13:23:13,17 days 15:49:02
2007-01-14 02:37:07,47.18833333333333,156.04666666666665,30.0,6.5,,,8,400.0,FAR FIELD                NPS,2007-01-14 02:37:07,0 days 13:13:54
2007-01-21 20:27:45,1.065,126.28166666666668,22.0,6.7,7.3,,9,,NORTHERN MOLUCCA SEA     USGS,2007-01-21 20:27:45,7 days 17:50:38
2007-01-25 19:59:16,22.725,122.115,92.0,6.1,6.1,2.0,8,311.0,TAIWAN REGION            NPS,2007-01-25 19:59:16,3 days 23:31:31
2007-01-30 13:54:50,54.74,146.29666666666665,11.0,6.2,6.9,,9,,WEST OF MACQUARIE ISLAND USGS,2007-01-30 13:54:50,4 days 17:55:34
2007-01-31 06:37:44,21.223333333333333,145.40166666666667,38.0,7.1,6.8,,8,337.0,MARIANA ISLANDS REGION   NPS,2007-01-31 06:37:44,0 days 16:42:54
2007-01-31 12:15:52,29.775,178.0016666666667,34.0,6.1,6.3,,9,,"KERMADEC ISL., N.Z.L.    USGS",2007-01-31 12:15:52,0 days 05:38:08
2007-02-12 19:35:21,35.795,10.333333333333334,10.0,6.2,5.8,,9,,AZORES-CAPE ST.VINC. RID USGS,2007-02-12 19:35:21,12 days 07:19:29
2007-02-17 09:02:56,41.73166666666667,143.72166666666666,40.0,6.2,6.5,4.0,1,29.0,SE OFF ERIMOMISAKI       NPS,2007-02-17 09:02:56,4 days 13:27:35
2007-02-20 17:04:25,1.0333333333333334,126.97666666666667,11.0,6.2,6.6,,9,,SOUTHERN MOLUCCA SEA     USGS,2007-02-20 17:04:25,3 days 08:01:29
2007-03-09 12:22:42,43.013333333333335,134.28833333333333,501.0,6.2,6.2,2.0,8,319.0,NEAR VLADIVOSTOK         NPS,2007-03-09 12:22:42,16 days 19:18:17
2007-03-18 11:11:05,4.585,78.50166666666667,8.0,6.4,5.7,,9,,SOUTH OF PANAMA          USGS,2007-03-18 11:11:05,8 days 22:48:23
2007-03-25 09:40:01,20.616666666666667,169.35666666666663,34.0,6.5,7.0,,9,,VANUATU (NEW HEBRIDES)   USGS,2007-03-25 09:40:01,6 days 22:28:56
2007-03-25 09:41:57,37.22,136.685,11.0,6.9,6.6,6.5,4,167.0,OFF NOTO PENINSULA       NPS,2007-03-25 09:41:57,0 days 00:01:56
2007-04-02 05:39:56,8.46,157.04333333333332,10.0,6.8,7.9,,9,,SOLOMON ISLANDS          USGS,2007-04-02 05:39:56,7 days 19:57:59
2007-04-02 06:11:33,7.305,155.74,10.0,6.3,,,9,,SOLOMON ISLANDS          USGS,2007-04-02 06:11:33,0 days 00:31:37
2007-04-20 09:26:39,25.738333333333333,125.07,22.0,6.3,5.7,3.0,7,288.0,NW OFF MIYAKOJIMA ISLAND NPS,2007-04-20 09:26:39,18 days 03:15:06
2007-04-20 10:45:54,25.746666666666663,125.13666666666668,21.0,6.7,6.0,3.0,7,288.0,NW OFF MIYAKOJIMA ISLAND NPS,2007-04-20 10:45:54,0 days 01:19:15
2007-04-20 11:23:32,25.688333333333333,125.05166666666666,24.0,6.1,5.6,3.0,7,288.0,NW OFF MIYAKOJIMA ISLAND NPS,2007-04-20 11:23:32,0 days 00:37:38
2007-04-22 02:53:46,45.24166666666667,72.64666666666666,37.0,6.1,6.3,,9,,SOUTHERN CHILE           USGS,2007-04-22 02:53:46,1 days 15:30:14
2007-04-27 17:02:49,5.358333333333333,94.635,38.0,6.3,5.8,,9,,"N SUMATERA, INDONESIA    USGS",2007-04-27 17:02:49,5 days 14:09:03
2007-04-29 21:41:57,52.00666666666667,179.97166666666666,117.0,6.2,,,9,,"ANDREANOF IS., ALEUTIAN  USGS",2007-04-29 21:41:57,2 days 04:39:08
2007-05-31 05:22:12,52.13666666666666,157.29166666666666,116.0,6.4,,,9,,KAMCHATKA                USGS,2007-05-31 05:22:12,31 days 07:40:15
2007-06-28 11:52:09,7.968333333333334,154.63,10.0,6.3,6.7,,9,,SOLOMON ISLANDS          USGS,2007-06-28 11:52:09,28 days 06:29:57
2007-07-09 03:54:04,47.07,155.10666666666663,30.0,6.2,5.7,,8,400.0,FAR FIELD,2007-07-09 03:54:04,10 days 16:01:55
2007-07-16 10:13:22,37.556666666666665,138.60833333333332,17.0,6.8,6.1,6.5,4,165.0,OFF S NIIGATA PREF       NPS,2007-07-16 10:13:22,7 days 06:19:18
2007-07-16 23:17:36,36.865,135.10333333333332,374.0,6.7,6.3,4.0,5,201.0,NW OFF KINKI DISTRICT    NPS,2007-07-16 23:17:36,0 days 13:04:14
2007-07-26 14:40:16,2.8716666666666666,127.46333333333334,25.0,6.4,6.8,,9,,NORTHERN MOLUCCA SEA     USGS,2007-07-26 14:40:16,9 days 15:22:40
2007-08-01 00:07:31,27.38833333333333,126.71166666666667,6.0,6.1,5.4,3.0,7,287.0,NW OFF OKINAWAJIMA IS    NPS,2007-08-01 00:07:31,5 days 09:27:15
2007-08-02 02:08:51,15.595,167.68,120.0,6.2,,,9,,VANUATU (NEW HEBRIDES)   USGS,2007-08-02 02:08:51,1 days 02:01:20
2007-08-02 11:37:33,47.22166666666666,141.72333333333333,0.0,6.4,6.2,2.0,8,322.0,SOUTH SAKHALIN           NPS,2007-08-02 11:37:33,0 days 09:28:42
2007-08-02 12:21:42,51.306666666666665,179.97,21.0,6.3,6.6,,9,,"ANDREANOF IS., ALEUTIAN  USGS",2007-08-02 12:21:42,0 days 00:44:09
2007-08-07 09:02:20,27.346666666666668,126.66666666666669,5.0,6.3,5.5,3.0,7,287.0,NW OFF OKINAWAJIMA IS    NPS,2007-08-07 09:02:20,4 days 20:40:38
2007-08-09 02:04:57,5.925,107.68,291.0,6.1,,,9,,"JAWA, INDONESIA          USGS",2007-08-09 02:04:57,1 days 17:02:37
2007-08-16 05:22:11,50.321666666666665,177.54666666666665,9.0,6.3,6.2,,9,,"ANDREANOF IS., ALEUTIAN  USGS",2007-08-16 05:22:11,7 days 03:17:14
2007-08-16 08:40:57,13.385,76.60166666666667,39.0,6.7,7.9,,9,,NEAR COAST OF PERU       USGS,2007-08-16 08:40:57,0 days 03:18:46
2007-08-16 17:39:27,9.83,159.46666666666667,10.0,6.1,6.7,,9,,SOLOMON ISLANDS          USGS,2007-08-16 17:39:27,0 days 08:58:30
2007-08-17 12:04:03,5.26,129.43166666666667,10.0,6.2,6.1,,9,,BANDA SEA                USGS,2007-08-17 12:04:03,0 days 18:24:36
2007-08-20 22:46:17,6.133333333333334,127.38,8.0,6.4,6.2,,9,,PHILIPPINE ISLANDS REG.  USGS,2007-08-20 22:46:17,3 days 10:42:14
2007-09-04 01:14:57,45.01833333333333,150.1233333333333,126.0,6.3,6.1,2.0,8,324.0,KURILE ISLANDS REGION    NPS,2007-09-04 01:14:57,14 days 02:28:40
2007-09-07 02:51:26,24.411666666666665,122.27333333333333,66.0,6.6,6.2,3.0,8,311.0,TAIWAN REGION            NPS,2007-09-07 02:51:26,3 days 01:36:29
2007-09-12 20:10:26,4.4366666666666665,101.36666666666666,34.0,6.9,8.5,,9,,"S SUMATERA, INDONESIA    USGS",2007-09-12 20:10:26,5 days 17:19:00
2007-09-13 08:49:03,2.625,100.84,35.0,6.6,8.1,,9,,"S SUMATERA, INDONESIA    USGS",2007-09-13 08:49:03,0 days 12:38:37
2007-09-13 12:35:28,2.13,99.62666666666668,22.0,6.3,7.2,,9,,"S SUMATERA, INDONESIA    USGS",2007-09-13 12:35:28,0 days 03:46:25
2007-09-13 18:48:46,3.8,126.335,35.0,6.2,6.2,,9,,"TALAUD IS., INDONESIA    USGS",2007-09-13 18:48:46,0 days 06:13:18
2007-09-14 01:09:16,3.1566666666666667,101.53166666666668,49.0,6.1,5.7,,9,,"S SUMATERA, INDONESIA    USGS",2007-09-14 01:09:16,0 days 06:20:30
2007-09-20 17:31:14,1.9983333333333333,100.14,30.0,6.3,6.8,,9,,"S SUMATERA, INDONESIA    USGS",2007-09-20 17:31:14,6 days 16:21:58
2007-09-26 21:36:26,4.99,153.5,40.0,6.2,6.6,,9,,"NEW IRELAND, P.N.G.      USGS",2007-09-26 21:36:26,6 days 04:05:12
2007-09-28 04:57:44,21.101666666666667,169.28166666666667,9.0,6.2,6.3,,9,,LOYALTY ISLANDS REGION   USGS,2007-09-28 04:57:44,1 days 07:21:18
2007-09-28 10:35:51,21.131666666666668,169.37166666666667,10.0,6.1,6.6,,9,,LOYALTY ISLANDS REGION   USGS,2007-09-28 10:35:51,0 days 05:38:07
2007-09-28 22:38:54,21.985,143.09666666666666,268.0,7.6,7.4,2.0,8,337.0,MARIANA ISLANDS REGION   NPS,2007-09-28 22:38:54,0 days 12:03:03
2007-09-30 11:08:30,10.453333333333331,145.71666666666667,14.0,6.4,7.1,,9,,SOUTH OF THE MARIANAS    USGS,2007-09-30 11:08:30,1 days 12:29:36
2007-10-03 03:00:06,54.51,161.70666666666668,32.0,6.2,6.2,,9,,ALASKA PENINSULA         USGS,2007-10-03 03:00:06,2 days 15:51:36
2007-10-17 06:05:43,25.775,179.53,509.0,6.2,,,9,,SOUTH OF FIJI            USGS,2007-10-17 06:05:43,14 days 03:05:37
2007-10-25 06:02:50,3.895,101.01666666666668,20.0,6.1,6.9,,9,,"S SUMATERA, INDONESIA    USGS",2007-10-25 06:02:50,7 days 23:57:07
2007-10-25 22:50:03,46.115,154.21,30.0,6.2,6.5,1.0,8,400.0,FAR FIELD,2007-10-25 22:50:03,0 days 16:47:13
2007-10-31 12:30:18,19.223333333333333,145.48666666666668,216.0,7.1,7.2,1.0,8,400.0,FAR FIELD                NPS,2007-10-31 12:30:18,5 days 13:40:15
2007-11-15 00:40:50,22.246666666666663,69.89,40.0,6.7,7.4,,9,,NORTHERN CHILE           USGS,2007-11-15 00:40:50,14 days 12:10:32
2007-11-16 00:05:58,22.925,70.23666666666666,26.0,6.1,6.6,,9,,NEAR COAST OF N CHILE    USGS,2007-11-16 00:05:58,0 days 23:25:08
2007-11-19 09:52:12,21.185,178.7516666666667,558.0,6.2,,,9,,FIJI REGION              USGS,2007-11-19 09:52:12,3 days 09:46:14
2007-11-26 01:02:17,8.276666666666667,118.33833333333334,35.0,6.2,6.3,,9,,"SUMBAWA, INDONESIA       USGS",2007-11-26 01:02:17,6 days 15:10:05
2007-11-26 04:53:07,8.225,118.45166666666668,35.0,6.2,6.2,,9,,"SUMBAWA, INDONESIA       USGS",2007-11-26 04:53:07,0 days 03:50:50
2007-12-09 16:28:20,25.995,177.51333333333332,153.0,7.0,,,9,,SOUTH OF FIJI            USGS,2007-12-09 16:28:20,13 days 11:35:13
2007-12-16 17:09:17,22.953333333333333,70.18166666666667,45.0,6.2,6.4,,9,,NEAR COAST OF N CHILE    USGS,2007-12-16 17:09:17,7 days 00:40:57
2007-12-19 18:30:27,51.361666666666665,179.52166666666668,29.0,6.4,7.1,,9,,"ANDREANOF IS., ALEUTIAN  USGS",2007-12-19 18:30:27,3 days 01:21:10
2007-12-20 16:55:15,39.01,178.29,20.0,6.3,6.5,,9,,"OFF N ISL. E COAST, N.Z. USGS",2007-12-20 16:55:15,0 days 22:24:48
